id,tag,name,parent_id,stem,extension,path,size,owner,group,created,accessed,modified
9773313,Directory,parent,9773312,parent,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project3/parent,96,501,20,1545241637,1545524452,1545241637
9773314,Directory,child,9773313,child,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project3/parent/child,96,501,20,1545241637,1545524452,1545241637
9773308,Directory,project2,9773283,project2,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project2,96,501,20,1545241637,1545524452,1545241637
9773309,Directory,parent,9773308,parent,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project2/parent,96,501,20,1545241637,1545524452,1545241637
9773310,Directory,child,9773309,child,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/project2/parent/child,96,501,20,1545241637,1545524452,1545241637
9773289,Directory,module_and_namespace_package,9773283,module_and_namespace_package,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/module_and_namespace_package,128,501,20,1545241637,1545524452,1545241637
9773291,Directory,a_test,9773289,a_test,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/module_and_namespace_package/a_test,96,501,20,1545241637,1545524452,1545241637
9773284,Directory,both_portions,9773283,both_portions,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/both_portions,96,501,20,1545241637,1545524452,1545241637
9773285,Directory,foo,9773284,foo,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/both_portions/foo,128,501,20,1545241637,1545524452,1545241637
9773298,Directory,portion1,9773283,portion1,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/portion1,96,501,20,1545241637,1545524452,1545241637
9773299,Directory,foo,9773298,foo,,/Users/starver/code/public/cpython/Lib/test/test_importlib/namespace_pkgs/portion1/foo,96,501,20,1545241637,1545524452,1545241637
9773341,Directory,zipdata02,9773226,zipdata02,,/Users/starver/code/public/cpython/Lib/test/test_importlib/zipdata02,128,501,20,1545241637,1545524452,1545241637
9773266,Directory,frozen,9773226,frozen,,/Users/starver/code/public/cpython/Lib/test/test_importlib/frozen,192,501,20,1545241637,1545524452,1545241637
9773230,Directory,builtin,9773226,builtin,,/Users/starver/code/public/cpython/Lib/test/test_importlib/builtin,192,501,20,1545241637,1545524452,1545241637
9773235,Directory,data01,9773226,data01,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data01,224,501,20,1545241637,1545524452,1545241637
9773238,Directory,subdirectory,9773235,subdirectory,,/Users/starver/code/public/cpython/Lib/test/test_importlib/data01/subdirectory,128,501,20,1545241637,1545524452,1545241637
9772774,Directory,dtracedata,9772520,dtracedata,,/Users/starver/code/public/cpython/Lib/test/dtracedata,576,501,20,1545241636,1545524452,1545241636
9773625,Directory,tracedmodules,9772520,tracedmodules,,/Users/starver/code/public/cpython/Lib/test/tracedmodules,128,501,20,1545241637,1545524452,1545241637
9772627,Directory,decimaltestdata,9772520,decimaltestdata,,/Users/starver/code/public/cpython/Lib/test/decimaltestdata,4640,501,20,1545241636,1545524452,1545241636
9773629,Directory,xmltestdata,9772520,xmltestdata,,/Users/starver/code/public/cpython/Lib/test/xmltestdata,224,501,20,1545241637,1545524452,1545241637
9772794,Directory,encoded_modules,9772520,encoded_modules,,/Users/starver/code/public/cpython/Lib/test/encoded_modules,160,501,20,1545241636,1545524452,1545241636
9772577,Directory,cjkencodings,9772520,cjkencodings,,/Users/starver/code/public/cpython/Lib/test/cjkencodings,1024,501,20,1545241636,1545524452,1545241636
9773586,Directory,test_warnings,9772520,test_warnings,,/Users/starver/code/public/cpython/Lib/test/test_warnings,160,501,20,1545241637,1545524452,1545241637
9773589,Directory,data,9773586,data,,/Users/starver/code/public/cpython/Lib/test/test_warnings/data,128,501,20,1545241637,1545524452,1545241637
9773201,Directory,test_import,9772520,test_import,,/Users/starver/code/public/cpython/Lib/test/test_import,160,501,20,1545241637,1545524453,1545241637
9773204,Directory,data,9773201,data,,/Users/starver/code/public/cpython/Lib/test/test_import/data,160,501,20,1545241637,1545524453,1545241637
9773223,Directory,package2,9773204,package2,,/Users/starver/code/public/cpython/Lib/test/test_import/data/package2,128,501,20,1545241637,1545524453,1545241637
9773205,Directory,circular_imports,9773204,circular_imports,,/Users/starver/code/public/cpython/Lib/test/test_import/data/circular_imports,448,501,20,1545241637,1545524453,1545241637
